#																
#	Time	dependensources	ate	Rivers	and											
#	Q1	is	river	Fal;	Q2	is	river	tressiliQ3	is	the	Truro;	Q4	is	the	STW	
T	Q(1)	 TR(1,1) 	 TR(1,2) 	 TR(1,3) 	Q(2)	 TR(2,1) 	 TR(2,2) 	 TR(2,3) 	Q(3)	 TR(3,1) 	 TR(3,2) 	 TR(3,3) 	Q(4)	 TR(4,1) 	 TR(4,2) 	 TR(4,3) 
s	m3/s	C	PSU	CFU100mL	m3/s	C	PSU	CFU100mLm3/s	m3/s	C	PSU	CFU100mLm3/s	m3/s	C	PSU	CFU100mL
457200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
460800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
464400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
468000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
471600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
475200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
478800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
482400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
486000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
489600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
493200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
496800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
500400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
504000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
507600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
511200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
514800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
518400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
522000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
525600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
529200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
532800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
536400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
540000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
543600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
547200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
550800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
554400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
558000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
561600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
565200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
568800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
572400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
576000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
579600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
583200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
586800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
590400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
594000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
597600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
601200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
604800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
608400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
612000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
615600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
619200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
622800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
626400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
630000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
633600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
637200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
640800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
644400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
648000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
651600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
655200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
658800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
662400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
666000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
669600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
673200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
676800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
680400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
684000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
687600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
691200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
694800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
698400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
702000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
705600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
709200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
712800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
716400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
720000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
723600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
727200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
730800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
734400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
738000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
741600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
745200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
748800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
752400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
756000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
759600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
763200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
766800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
770400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
774000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
777600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
781200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
784800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
788400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
792000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
795600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
799200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
802800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
806400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
810000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
813600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
817200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
820800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
824400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
828000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
831600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
835200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
838800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
842400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
846000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
849600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
853200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
856800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
860400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
864000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	2500000
