#          Tracer Boundary Power Station
#
T          Q(2)    TR(2,1)
s          m       deg C
840600     50.00         39
842400     50.00         39
844200     50.00         39
846000     50.00         39
847800     50.00         39
849600     50.00         39
851400     50.00         39
853200     50.00         39
855000     50.00         39
856800     50.00         39
858600     50.00         39
860400     50.00         39
862200     50.00         39
864000     50.00         39
865800     50.00         39
867600     50.00         39
869400     50.00         39
871200     50.00         39
873000     50.00         39
874800     50.00         39
876600     50.00         39
878400     50.00         39
880200     50.00         39
882000     50.00         39
883800     50.00         39
885600     50.00         39
887400     50.00         39
889200     50.00         39
891000     50.00         39
892800     50.00         39
894600     50.00         39
896400     50.00         39
898200     50.00         39
900000     50.00         39
901800     50.00         39
903600     50.00         39
905400     50.00         39
907200     50.00         39
909000     50.00         39
910800     50.00         39
912600     50.00         39
914400     50.00         39
916200     50.00         39
918000     50.00         39
919800     50.00         39
921600     50.00         39
923400     50.00         39
925200     50.00         39
927000     50.00         39
928800     50.00         39
930600     50.00         39
932400     50.00         39
934200     50.00         39
936000     50.00         39
937800     50.00         39
939600     50.00         39
941400     50.00         39
943200     50.00         39
945000     50.00         39
946800     50.00         39
948600     50.00         39
950400     50.00         39
952200     50.00         39
954000     50.00         39
955800     50.00         39
957600     50.00         39
959400     50.00         39
961200     50.00         39
963000     50.00         39
964800     50.00         39
966600     50.00         39
968400     50.00         39
970200     50.00         39
972000     50.00         39
973800     50.00         39
975600     50.00         39
977400     50.00         39
979200     50.00         39
981000     50.00         39
982800     50.00         39
984600     50.00         39
986400     50.00         39
988200     50.00         39
990000     50.00         39
991800     50.00         39
993600     50.00         39
995400     50.00         39
997200     50.00         39
999000     50.00         39
1000800    50.00         39
1002600    50.00         39
1004400    50.00         39
1006200    50.00         39
1008000    50.00         39
1009800    50.00         39
1011600    50.00         39
1013400    50.00         39
1015200    50.00         39
1017000    50.00         39
1018800    50.00         39
1020600    50.00         39
1022400    50.00         39
1024200    50.00         39
1026000    50.00         39
1027800    50.00         39
1029600    50.00         39
1031400    50.00         39
1033200    50.00         39
1035000    50.00         39
1036800    50.00         39
1038600    50.00         39
1040400    50.00         39
1042200    50.00         39
